budget,runtime,popularity,vote_average,vote_count,original_language,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_Foreign,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_War,genre_Western,success
237000000,162.0,150.437577,7.2,11800,en,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
300000000,169.0,139.082615,6.9,4500,en,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
245000000,148.0,107.376788,6.3,4466,en,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
250000000,165.0,112.31295,7.6,9106,en,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
260000000,132.0,43.926995,6.1,2124,en,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
258000000,139.0,115.699814,5.9,3576,en,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
260000000,100.0,48.681969,7.4,3330,en,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
280000000,141.0,134.279229,7.3,6767,en,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
250000000,153.0,98.885637,7.4,5293,en,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
250000000,151.0,155.790452,5.7,7004,en,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
270000000,154.0,57.925623,5.4,1400,en,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
200000000,106.0,107.928811,6.1,2965,en,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
200000000,151.0,145.847379,7.0,5246,en,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
255000000,149.0,49.046956,5.9,2311,en,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
225000000,143.0,99.398009,6.5,6359,en,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
225000000,150.0,53.978602,6.3,1630,en,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
220000000,143.0,144.448633,7.4,11776,en,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
380000000,136.0,135.413856,6.4,4948,en,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
225000000,106.0,52.035179,6.2,4160,en,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
250000000,144.0,120.965743,7.1,4760,en,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
215000000,136.0,89.866276,6.5,6586,en,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
200000000,140.0,37.668301,6.2,1398,en,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
250000000,161.0,94.370564,7.6,4524,en,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
180000000,113.0,42.990906,5.8,1303,en,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
207000000,187.0,61.22601,6.6,2337,en,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
200000000,194.0,100.025899,7.5,7562,en,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
250000000,147.0,198.372395,7.1,7241,en,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
209000000,131.0,64.928382,5.5,2114,en,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
150000000,124.0,418.708552,6.5,8662,en,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
200000000,143.0,93.004993,6.9,7604,en,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
200000000,127.0,35.149586,6.7,4321,en,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
200000000,130.0,77.68208,6.8,8806,en,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
200000000,108.0,78.530105,6.4,4645,en,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
210000000,104.0,3.857526,6.3,3525,en,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
200000000,104.0,89.186492,7.0,3528,en,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
150000000,150.0,21.939663,6.0,3138,en,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
210000000,165.0,116.840296,5.8,3095,en,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
200000000,130.0,46.985445,5.7,3530,en,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
200000000,142.0,89.270217,6.5,4179,en,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
170000000,125.0,73.79505,6.3,2841,en,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
200000000,106.0,49.98659,5.8,2033,en,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
200000000,114.0,51.872839,5.1,2487,en,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
200000000,103.0,59.995418,7.6,4597,en,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
200000000,115.0,71.862892,5.9,2463,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
190000000,137.0,102.322217,7.3,4176,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
200000000,116.0,81.834855,6.7,5560,en,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
250000000,131.0,118.078691,7.5,6032,en,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
190000000,132.0,78.291018,7.4,4418,en,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
195000000,114.0,43.349855,5.5,2598,en,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
105000000,143.0,61.196071,7.3,3769,en,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
150000000,116.0,62.169881,6.2,2317,en,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
180000000,131.0,56.523205,6.7,4794,en,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
195000000,154.0,28.529607,6.1,3299,en,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
185000000,122.0,75.674458,5.7,2495,en,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
175000000,93.0,51.692953,6.6,1736,en,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
185000000,93.0,125.114374,6.7,4641,en,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
185000000,122.0,65.352913,6.6,2568,en,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
180000000,98.0,66.390712,7.8,6296,en,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
140000000,91.0,22.57178,6.1,783,en,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
200000000,158.0,45.274225,5.6,4903,en,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
200000000,96.0,39.744242,6.6,1095,en,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
176000003,124.0,85.36908,5.2,2768,en,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
180000000,109.0,42.741719,5.5,2430,en,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
180000000,143.0,67.391328,6.7,2629,en,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
178000000,144.0,139.272042,6.4,4721,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
185000000,152.0,187.322927,8.2,12002,en,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
175000000,96.0,92.201962,7.7,6870,en,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
175000000,94.0,36.167578,6.0,1423,en,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
140000000,126.0,120.725053,7.4,8776,en,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
170000000,126.0,32.319043,7.0,2141,en,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
170000000,106.0,40.748915,5.1,1020,en,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
145000000,112.0,60.034162,5.2,1387,en,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
175000000,123.0,90.23792,5.9,7458,en,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
175000000,96.0,27.082182,5.3,1151,en,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
178000000,113.0,79.456485,7.6,4858,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
175000000,135.0,44.640292,5.9,992,en,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
175000000,118.0,32.852443,5.6,1962,en,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
175000000,94.0,128.655964,8.0,6560,en,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
175000000,106.0,94.199316,6.7,2892,en,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
200000000,124.0,77.300194,6.6,6849,en,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
170000000,127.0,77.178973,5.8,3118,en,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
180000000,97.0,110.620647,7.0,4496,en,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
170000000,130.0,243.791743,7.3,4410,en,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
27000000,109.0,2.418535,4.8,34,en,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
175000000,119.0,41.796339,5.9,1326,en,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
170000000,136.0,72.225265,7.6,5764,en,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
165000000,93.0,44.041186,6.0,1959,en,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
190000000,130.0,130.311355,6.2,2846,en,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
165000000,102.0,203.73459,7.8,6135,en,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
165000000,108.0,62.341073,7.1,4570,en,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
165000000,100.0,47.323228,6.4,1474,en,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
165000000,120.0,48.775723,4.9,2491,en,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
165000000,98.0,67.263269,7.5,4227,en,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
200000000,109.0,69.405188,5.9,2143,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
170000000,121.0,481.098624,7.9,9742,en,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
165000000,169.0,724.247784,8.1,10867,en,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
160000000,148.0,167.58371,8.1,13752,en,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
15000000,120.0,9.476999,6.5,143,ja,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
250000000,169.0,108.849621,7.0,8297,en,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
38000000,106.0,6.909942,6.6,3428,en,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
150000000,166.0,60.269279,7.3,3292,en,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1
160000000,132.0,3.195174,7.1,5181,en,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
160000000,137.0,127.284427,6.6,3984,en,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
150000000,109.0,35.580815,5.8,1470,en,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
160000000,99.0,21.133748,5.5,583,en,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
170000000,113.0,56.268916,6.5,1725,en,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
160000000,93.0,42.986467,6.0,2278,en,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
160000000,123.0,63.148529,6.3,2268,en,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
155000000,126.0,202.042635,5.8,3631,en,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
155000000,113.0,49.661984,6.2,1514,en,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
140000000,183.0,34.20669,6.6,1791,en,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
150000000,144.0,25.468493,6.6,4040,en,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
155000000,175.0,39.019229,5.6,927,en,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
150000000,138.0,78.144395,7.4,5494,en,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
150000000,157.0,101.250416,7.5,5608,en,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
150000000,92.0,56.758411,6.2,2961,en,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
150000000,101.0,70.867401,6.9,4853,en,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
