budget,runtime,genres,popularity,original_language,vote_average,vote_count,budget_missing,success_score,success,release_year,era,release_month,is_summer_release,is_holiday_release,num_genres,is_english
105000000,143.0,"['Drama', 'Romance']",61.196071,en,7.3,3769,0,59.95,1,2013,2010s+ (2010+),5,0,0,2,1
140000000,91.0,"['Action', 'Comedy', 'Crime', 'Thriller']",22.57178,en,6.1,783,0,44.39,1,2007,2000s (2000-2009),8,1,0,4,1
145000000,112.0,"['Adventure', 'Action', 'Fantasy']",60.034162,en,5.2,1387,0,45.5,1,2008,2000s (2000-2009),7,1,0,3,1
27000000,109.0,"['Action', 'Adventure', 'Science Fiction', 'Romance']",2.418535,en,4.8,34,0,29.04,0,2015,2010s+ (2010+),2,0,0,4,1
15000000,120.0,"['Action', 'Adventure', 'Drama', 'Horror', 'Science Fiction']",9.476999,ja,6.5,143,0,55.35,1,2016,2010s+ (2010+),7,1,0,5,0
38000000,106.0,"['Action', 'Crime', 'Thriller']",6.909942,en,6.6,3428,0,56.66,1,2001,2000s (2000-2009),6,1,0,3,1
149000000,85.0,"['Adventure', 'Animation', 'Comedy', 'Family']",22.550135,en,6.0,874,0,39.55,0,2006,2000s (2000-2009),10,0,0,4,1
145000000,92.0,"['Animation', 'Adventure', 'Family']",38.73494,en,6.7,843,0,49.72,1,2014,2010s+ (2010+),2,0,0,3,1
140000000,133.0,"['Adventure', 'Action', 'Thriller']",54.159392,en,5.8,1092,0,49.47,1,2002,2000s (2000-2009),11,0,1,3,1
144000000,116.0,"['Action', 'Fantasy', 'Comedy']",66.21806,en,5.3,2142,0,43.2,1,2016,2010s+ (2010+),7,1,0,3,1
140000000,151.0,"['Action', 'Thriller', 'Science Fiction', 'Adventure']",58.485967,en,6.4,2482,0,56.12,1,1998,Moderne (1980-1999),7,1,0,4,1
140000000,88.0,"['Action', 'Adventure', 'Comedy', 'Science Fiction']",91.332849,en,6.0,3114,0,54.6,1,2002,2000s (2000-2009),7,1,0,4,1
70000000,115.0,"['Adventure', 'Action', 'Animation']",35.601665,en,5.5,841,0,44.95,1,2007,2000s (2000-2009),11,0,1,3,1
145000000,95.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']",56.747978,en,6.7,1603,0,56.66,1,2016,2010s+ (2010+),1,0,0,5,1
145000000,97.0,"['Fantasy', 'Animation', 'Family']",61.788035,en,7.1,1922,0,55.13,1,2012,2010s+ (2010+),11,0,1,3,1
100000000,90.0,['Comedy'],25.159168,en,5.9,627,0,43.98,1,2005,2000s (2000-2009),12,0,1,1,1
140000000,154.0,"['Drama', 'Action', 'War', 'History']",52.341226,en,7.3,1895,0,58.82,1,2003,2000s (2000-2009),12,0,1,4,1
140000000,150.0,"['Adventure', 'Drama', 'Action']",101.599427,en,5.6,1921,0,49.34,1,2014,2010s+ (2010+),12,0,1,3,1
140000000,127.0,['Fantasy'],56.257249,en,5.3,1277,0,40.65,1,2016,2010s+ (2010+),2,0,0,1,1
135000000,121.0,['Action'],17.88953,en,4.9,331,0,32.9,1,2005,2000s (2000-2009),7,1,0,1,1
130000000,163.0,"['Action', 'Mystery', 'Science Fiction']",64.798873,en,7.0,2811,0,52.76,1,2009,2000s (2000-2009),3,0,0,3,1
140000000,127.0,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",24.855701,en,6.3,767,0,46.4,1,1998,Moderne (1980-1999),7,1,0,5,1
137000000,138.0,"['Drama', 'Action', 'Science Fiction']",34.981698,en,5.3,1533,0,40.67,1,2003,2000s (2000-2009),6,1,0,3,1
130000000,110.0,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",59.325589,en,5.4,3025,0,46.91,1,2013,2010s+ (2010+),3,0,0,4,1
130000000,124.0,"['Action', 'Adventure', 'Comedy', 'Drama', 'Mystery']",21.605568,en,5.7,434,0,39.11,1,2005,2000s (2000-2009),4,0,0,5,1
137000000,106.0,"['Adventure', 'Action', 'Animation', 'Fantasy', 'Science Fiction', 'Thriller']",26.074908,en,5.9,433,0,39.87,1,2001,2000s (2000-2009),7,1,0,6,1
135000000,128.0,"['Adventure', 'Action', 'Thriller']",39.604363,en,6.0,862,0,48.0,1,1999,Moderne (1980-1999),11,0,1,3,1
130000000,100.0,"['Animation', 'Comedy', 'Family']",17.7735,en,5.8,373,0,40.05,1,2011,2010s+ (2010+),11,0,1,3,1
140000000,120.0,"['Adventure', 'Family', 'Fantasy']",44.19092,en,6.0,1000,0,44.35,1,2016,2010s+ (2010+),6,1,0,3,1
135000000,96.0,"['Animation', 'Family']",44.765377,en,6.1,1074,0,47.36,1,2013,2010s+ (2010+),7,1,0,2,1
135000000,107.0,"['Animation', 'Comedy', 'Family', 'Western', 'Adventure']",29.91353,en,6.6,2051,0,48.05,1,2011,2010s+ (2010+),3,0,0,5,1
132000000,92.0,"['Family', 'Animation', 'Adventure', 'Comedy']",84.366984,en,6.5,1346,0,55.93,1,2014,2010s+ (2010+),11,0,1,4,1
70000000,115.0,"['Action', 'Drama', 'Mystery', 'Thriller']",45.381501,en,7.3,2888,0,67.32,2,2007,2000s (2000-2009),8,1,0,4,1
135000000,94.0,"['Fantasy', 'Comedy', 'Animation', 'Science Fiction', 'Family']",63.473086,en,6.8,1519,0,55.34,1,2015,2010s+ (2010+),3,0,0,5,1
130000000,147.0,"['Adventure', 'Action', 'Comedy', 'Thriller', 'Crime']",38.068736,en,6.3,1564,0,47.91,1,2003,2000s (2000-2009),7,1,0,5,1
130000000,90.0,"['Action', 'Adventure', 'Animation', 'Family', 'Fantasy']",20.678787,en,6.4,451,0,53.28,1,2011,2010s+ (2010+),10,0,0,5,1
110000000,100.0,"['Action', 'Mystery', 'Thriller']",48.829437,en,6.2,2093,0,50.08,1,2010,2010s+ (2010+),7,1,0,3,1
125000000,139.0,"['Drama', 'Adventure']",46.115758,en,5.6,2350,0,46.91,1,2014,2010s+ (2010+),3,0,0,2,1
130000000,107.0,"['Adventure', 'Animation', 'Mystery']",89.938296,en,6.7,2061,0,57.78,1,2011,2010s+ (2010+),10,0,0,3,1
130000000,165.0,['Drama'],28.840997,en,6.3,694,0,41.83,0,2008,2000s (2000-2009),11,0,1,1,1
130000000,100.0,"['Science Fiction', 'Action', 'Adventure']",42.840582,en,5.0,2532,0,39.91,1,2013,2010s+ (2010+),5,0,0,3,1
127500000,82.0,"['Animation', 'Family']",26.548594,en,6.2,542,0,48.19,1,2000,2000s (2000-2009),5,0,0,2,1
127000000,97.0,"['Adventure', 'Comedy', 'Fantasy', 'Family']",115.597753,en,6.1,1851,0,54.85,1,2014,2010s+ (2010+),12,0,1,4,1
130000000,95.0,"['Animation', 'Action', 'Comedy', 'Family', 'Science Fiction']",68.757242,en,6.7,1918,0,54.5,1,2010,2010s+ (2010+),10,0,0,5,1
130000000,96.0,"['Fantasy', 'Action', 'Comedy', 'Crime']",39.448066,en,5.4,1260,0,37.77,0,2013,2010s+ (2010+),7,1,0,4,1
103000000,102.0,"['Animation', 'Adventure', 'Comedy', 'Family']",42.40024,en,6.3,978,0,56.61,1,2014,2010s+ (2010+),3,0,0,4,1
110000000,133.0,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",2.871739,en,6.8,3506,0,52.21,1,2003,2000s (2000-2009),4,0,0,4,1
125000000,129.0,"['Adventure', 'Action', 'Crime', 'Mystery']",81.499621,en,7.0,3886,0,58.18,1,2011,2010s+ (2010+),11,0,1,4,1
